TSC2	TSC1
RPS3	RPS4X
NDUFS6	NDUFS1
GNB4	GNG4
GMDS	TSTA3
PSMB2	PSMD13
MRPL17	DAP3
RPL7A	RPS29
RPL10L	RPL6
RPS9	RPL29
RPL34	RPS14
GNB3	GNG4
BYSL	RIOK2
RPS17	RPL23A
BLM	FANCA
RPL39	RPS25
RPL37	RPL26
RPS2	RPS29
RPS27	RPL35A
NDUFV2	NDUFA13
SEC61B	SEC61A1
NDUFB9	NDUFA13
RPL39	RPL26
GNB3	GNG7
EIF2S3	RPSA
NOTCH3	MAML2
MAD2L1	BUB1
LAMTOR5	LAMTOR1
RPLP1	RPS8
CDKN1B	CCNE1
APITD1	TOP3A
RPLP2	RPL11
RPA1	APITD1
MED1	MED13
LAS1L	NOL9
RPL15	RPL5
RPL18A	RPS14
RPL21	RPS14
RAG1	RAG2
POLR2J	INTS6
PSMC4	PSMD14
RBL1	E2F4
RAD52	RAD51
PSMD10	PSMD14
RPL8	RPS3A
RPL13	RPL39
NCKAP1	CYFIP2
RPL34	RPL18
ANAPC11	CDC27
VAMP2	STX3
NDUFB7	NDUFA13
NDUFA2	NDUFA11
VPS18	VPS41
COPS2	COPS5
EP300	MEF2A
DYNC1LI1	DYNC1H1
HLA-E	B2M
TUBA1B	TUBB
TTN	NEB
RPL34	RPS24
XPO1	RAN
MCM5	ORC1
RPL13A	RPS28
PSMC4	PSMD13
TAB2	TRAF6
PSMD4	PSMD13
ICT1	MRPL19
RPS12	RPL37
APITD1	FANCL
CCND3	CDKN1A
TUFM	MRPL2
HAT1	RBBP7
RPS3	RPLP0
PTBP1	ELAVL1
BUB1B	CDC23
RPL14	RPL26L1
PSMD13	PSMC6
RPS27A	RPS4X
TAF10	TBP
RPL37	RPS25
SNRPD3	CDC5L
BRCA2	RAD51
HNRNPA2B1	TRA2B
RPL10L	RPS15
GLI1	SUFU
UQCRQ	UQCRB
CDC5L	SNRPB
SUZ12	AEBP2
POLR2K	POLR2F
LMO2	LDB1
TSEN15	TSEN34
AURKB	CDCA8
BUB1	CASC5
UQCRC2	UQCRQ
RRP9	IMP3
ATG14	BECN1
CREBBP	CREB1
DCP2	DCP1A
RPL38	RPS15A
CYC1	UQCRQ
PPP2R1A	PPP2R5C
RPS27	RPL5
RNASEH2C	RNASEH2B
RPL24	RPS29
UBE2I	SUMO1
RPS7	RPL36A
VPS39	VPS11
MCM5	ORC2
MED25	MED12
RPS3A	RPL28
VBP1	PFDN2
WDR24	DEPDC5
RPS27A	RPS8
CCNB1	CDC25C
PIK3C3	BECN1
MAP3K7	MAP2K6
RPL8	RPL11
NDUFA2	NDUFB11
NDUFS8	NDUFA13
SAE1	UBE2I
RPLP1	RPL18
RPL38	RPS3A
LAMTOR5	RRAGB
SF3B3	SNRNP200
RPS27A	RPS2
NDUFA3	NDUFA13
UTP15	NOP14
RPL21	RPS28
F9	SERPINC1
RPL29	RPS13
PSMC5	PSMD14
CENPA	HJURP
ORC6	CDC7
RFC2	RAD17
RPL7	RPLP1
RPL8	RPS28
GNB4	GNG12
NDUFS5	NDUFA11
NUP133	SEC13
RPS29	RPL36
GTF2H1	ERCC3
PCNA	RFC3
RPS3	RPS7
RPL37	RPL27
MRPS7	MRPL17
RPL5	RPL17
RPS12	RPL34
GTF2H2	ERCC5
ACTN4	ACTN1
RPL21	RPS27
SMG1	UPF1
RPS27A	RPS13
SNRPA1	CDC5L
NUP93	NUP62
RPS16	RPS27A
KPNB1	RAN
NDUFA9	NDUFA13
AP3S1	AP3D1
LAMTOR5	RRAGA
TUBGCP6	MZT1
RPL38	RPL10
RPS21	RPL28
DNA2	EXO1
POLD3	POLD1
TP53	CDKN1A
ORC2	MCM10
PSMA6	PSMD14
EIF3E	EIF3G
TAB1	MAP3K7
PSMD8	PSMD13
VPS4A	CHMP2A
RPS6	RPL17
APITD1	RPA2
EIF2S1	EIF2S2
AP3M1	AP3D1
RPS7	RPS21
DCTN6	DCTN4
OGDH	DLST
FDX1	FDXR
GNB3	PDCL
SMG1	RBM8A
RPS27	RPL11
RPL11	RPL17
RPL10L	RPL23A
RPS21	RPLP1
UBE2C	CDC20
VPS4B	VTA1
SEC16A	SEC13
POLR2C	SUPT5H
RPS6	RPL13A
RPS9	RPS29
ERCC4	EME1
TNFSF9	TNFRSF9
BCL2L1	BID
PSMA2	PSMD13
BLM	RPA2
MAD2L1	CDC23
RPS7	RPL24
BBS4	BBS1
MPHOSPH10	BMS1
NEDD8	UBE2M
RPL34	RPS10
DIS3L	EXOSC10
RPA3	TOP3A
XRCC4	LIG4
CDK2	CDKN1A
BUB1B	CDC27
PSMC1	PSMD13
UQCRH	UQCRQ
RPL27A	RPS14
PSMC2	PSMA1
NDUFS6	NDUFA11
RPS29	RPL9
RPS6	RPL23
RPS12	RPL38
PPP3R1	PPP3CA
FADD	FAS
PSMC1	PSMD14
POLA2	PRIM1
ATP6V1B2	ATP6V1H
RPL34	RPL10
ATP6V1E1	ATP6V1H
NDUFB10	NDUFS1
PIK3R4	BECN1
GNB4	GNG7
LAMTOR5	LAMTOR2
RPL15	RPS6
NOP58	BOP1
RPS24	RPL23
RPS2	RPLP1
ARPC5L	ARPC4
RPS6KB1	MTOR
MRPS35	DAP3
RPS3	RPS9
RPS3A	RPL35A
RPL28	RPS15
CHD4	RBBP7
DCAF13	TBL3
RPL37	RPS10
NEK2	CDC27
CDK2	CCNA2
RPLP1	RPS15
ACTR5	RUVBL1
PABPC1	EIF4G1
BUB1B	AURKB
PSMC2	PSMD13
ORC2	MCM7
ANAPC1	ANAPC7
RPS7	RPS20
CCNT2	CDK9
RPL8	RPL23A
RPL13	RPLP2
UTP20	BMS1
RPLP2	RPL39
RNASEH2A	RNASEH2C
PSMA1	PSMD6
GNB3	GNG12
NDUFS6	NDUFS2
MCM5	CDC45
RPL4	RPL39
RPS27A	RPL24
SMARCD1	SMARCA4
RPLP2	RPL13A
RPS7	RPS26
RPS21	RPL14
HLA-A	B2M
ITGA5	ITGB1
RPLP1	RPL32
ATP5D	ATP5B
PIK3CA	PIK3R1
MARS	EEF1E1
LAMTOR4	SLC38A9
PPP4C	PPP4R2
PSMD8	ANAPC4
SAE1	SUMO2
RPA3	TIPIN
RPL32	RPS25
RPL39	RPL27
ARID2	PBRM1
PTTG1	CDC27
PPIH	PRPF31
RPL21	RPL11
NOB1	RIOK2
RPL3L	RPL15
VPS4B	CHMP2A
RPS11	RPS27A
FADD	CASP8
RPL37	RPL24
RPL15	RPL11
MRPS10	MRPS2
GNGT1	GNB1
NDUFB3	NDUFA13
RPS29	RPL30
RPS7	RPS27
EIF4G3	EIF4E
PSMD12	ADRM1
PSMA6	PSMC2
BTLA	TNFRSF14
PSEN2	PSENEN
PSMA2	PSMC1
NOP58	UTP15
CDKN1B	CCNA2
UPF2	UPF1
PSMB1	PSMD13
PSMA5	PSMD13
EIF3E	EIF3C
EIF3E	EIF3CL
GNB2	GNG4
NOP58	NHP2
RPA1	TOP3A
RPS27A	RPS20
DIS3L	EXOSC8
RPS6	RPL23A
NDUFS3	NDUFS6
GNG4	GNB1
MCM6	CDC45
RPS27A	RPL5
RPS7	RPSA
MCM4	ORC1
PDCL	GNB2
NDC80	BUB1B
RPL15	RPL23
RPL11	RPL32
POLR2L	POLR2H
CDC23	FZR1
EP300	TP53
RPL11	RPL34
CHTOP	DDX39B
POLR2K	POLR2H
NDUFB10	NDUFAB1
UPF3A	UPF1
TADA2B	SUPT3H
NDUFA12	NDUFA13
EXOSC5	EXOSC6
GALT	GALE
RPL13	RPL38
SKP2	CDC20
MRPS35	MRPS31
SF3B3	PRPF8
THOC2	DDX39B
BUD31	EFTUD2
RPL37	RPL13
CASC3	UPF3A
PSMD13	PSMC3
BYSL	NOB1
CDK13	CCNK
SF3B1	CDC5L
PCNA	RFC5
CNOT7	TOB1
MCM2	ORC5
MLH1	MSH2
RPL39	RPL23A
PSMB7	PSMD13
RPL5	RPL14
EIF3E	EIF3L
SUFU	GLI2
RPLP2	RPS19
RPS15A	RPS29
MED17	MED1
PSMD14	PSMD13
CASC5	ZWINT
RPL13	RPL34
RPS17	RPL11
NSMCE2	SMC6
RPS27A	RPS26
PSMD3	ADRM1
RPS12	RPL14
PPIH	PRPF3
GNB5	RGS7
NDUFV1	NDUFA13
RPS4X	RPL17
NUF2	BUB1
GNB3	GNG2
RPS11	RPL39
RPS7	RPS17
CDC73	RTF1
ANAPC5	ANAPC1
NDUFA5	NDUFAB1
RPL3	RPL39
CDK8	CCNC
PER2	CRY2
NDUFA9	NDUFB10
CNOT1	CNOT6L
CNOT3	CNOT7
RPL13	RPS19
RPS11	RPL37
PSMD1	PSMD13
GNG7	GNB1
COX5B	CYCS
BMS1	NOP56
PSMA6	PSMC3
ELP3	ELP4
MRPL46	DAP3
RPL3L	RPL6
RPS4X	RPL29
SF3A1	CDC5L
TXN	TXNRD1
RPLP2	RPS24
RPL27A	RPL11
RPL5	RPL36
RPL39	RPL14
RPS21	RPL12
RPL14	RPL18
RPL10	RPS28
MAT2A	MAT2B
MAML1	MAML2
RPS27A	RPL26
PSMD7	PSMD13
RPS12	RPLP2
POLR2H	POLR2E
RPLP1	RPL23A
RPL22	RPS29
PSMD13	PSMD6
FZR1	ANAPC4
PSMD12	PSMD13
RPL11	RPS18
NDUFS3	NDUFB10
ATP6V1D	ATP6V1F
RPLP1	RPL36A
HLA-C	B2M
RPS9	RPL32
RPL35	RPS3A
ORC2	MCM4
RPL37	RPS24
PSMD2	PSMD13
RBX1	DDB1
BRCC3	FAM175A
RPS21	RPL13A
RPS27A	RPL11
C1D	EXOSC10
ASH2L	DPY30
RPS3	RPL5
CDK7	MNAT1
SMC4	NCAPD3
VPS4A	CHMP6
SLX4	MUS81
RPL23	RPL18
RPL10L	RPL24
RPL13	RPS7
SART1	CDC5L
CD2	CD58
SF3B2	CDC5L
PSMD3	PSMD13
RPS17	RPL28
ORC1	CDC45
RPL3	RPL29
MRPS10	MRPS14
CCND2	CDKN1A
CCNT1	CDK9
CASP3	CASP8
RPS17	RPL14
RPS14	RPL10
PRPF19	EFTUD2
RYR2	FKBP1B
GTF2E2	GTF2F1
RPL3	RPS29
