YOR224C	YJL140W
YAR007C	YDR495C
YJL050W	YOR294W
YPR161C	YLR094C
YML010W	YGL019W
YPL004C	YKL145W
YMR310C	YGR283C
YDL014W	YLR197W
YPL066W	YDL126C
YNR050C	YOR154W
YBR058C	YLR384C
YBR009C	YDR306C
YMR284W	YGR052W
YCR060W	YDR388W
YLR330W	YDR129C
YNL246W	YHR027C
YGR103W	YCL031C
YGL212W	YDR229W
YJL033W	YBR011C
YNL229C	YPL235W
YNL138W	YJR109C
YDL147W	YBR080C
YPL150W	YDL053C
YGR086C	YDL155W
YLR203C	YHR121W
YDL182W	YJR094W-A
YNL312W	YGL013C
YOR172W	YDR388W
YNL049C	YPR181C
YDL053C	YGL173C
YKL075C	YDL014W
YPR144C	YDR171W
YBL039C	YGR170W
YDR075W	YKR059W
YLR002C	YOR310C
YNL031C	YPL001W
YBR247C	YDR319C
YPL022W	YPL183C
YKL129C	YDR388W
YMR109W	YAL029C
YMR188C	YGR084C
YBR010W	YNL326C
YLR197W	YNL308C
YJL168C	YPR187W
YIL035C	YOR025W
YOL088C	YPR117W
YDR234W	YKL081W
YOR174W	YMR287C
YNL261W	YBR009C
YOR138C	YLR418C
YHR089C	YOR004W
YJL092W	YGR054W
YJL047C	YBL075C
YBR049C	YOR261C
YBR234C	YHR034C
YNL189W	YER001W
YLR373C	YBR143C
YLR058C	YDL247W
YOR148C	YNL286W
YLR039C	YDR388W
YDR266C	YMR165C
YLR033W	YPR034W
YLR203C	YNL106C
YML062C	YNL004W
YGL099W	YBR101C
YGR068C	YDR087C
YBR058C	YGL106W
YJL033W	YER062C
YDR028C	YNL009W
YJL184W	YML036W
YGL020C	YER083C
YNL312W	YIL126W
YER122C	YNL287W
YOR132W	YOL054W
YNL186W	YER054C
YNL061W	YOL144W
YOL135C	YDR308C
YOR174W	YKR067W
YKL023W	YDR190C
YJL197W	YLR087C
YDR517W	YML079W
YPR161C	YNL106C
YDL055C	YOL063C
YKL028W	YDR388W
YDL182W	YDL185W
YJR053W	YHR029C
YNL140C	YHR167W
YPL022W	YPR171W
YOR310C	YGL120C
YKR022C	YML106W
YBR135W	YDR099W
YDR177W	YHR039C-B
YDR137W	YMR146C
YOR361C	YPR167C
YLR203C	YGL043W
YNL286W	YMR288W
YLR135W	YFR053C
YDL147W	YAL043C
YHL008C	YHR121W
YDR172W	YOR003W
YLR323C	YLR167W
YPR190C	YLR347C
YMR186W	YHR064C
YDR385W	YMR315W
YPL001W	YHR154W
YMR014W	YML105C
YNR016C	YOR136W
YGL207W	YDR004W
YPR107C	YAL043C
YBR253W	YNR010W
YIL035C	YGL019W
YJL033W	YLR197W
YPR164W	YJR009C
YOR261C	YEL034W
YLR371W	YMR277W
YBR139W	YHR064C
YBR198C	YDR381W
YNL255C	YHL034C
YML034W	YBR109C
YPR103W	YGL011C
YPL001W	YLR150W
YER070W	YJL066C
YCR058C	YLR409C
YPL086C	YJL069C
YMR091C	YMR033W
YMR020W	YLL002W
YOL149W	YNL118C
YFR010W	YLR347C
YMR123W	YKR081C
YHL034C	YMR290C
YDL100C	YKR031C
YOR209C	YCR093W
YER155C	YPL012W
YJL047C	YDR385W
YER021W	YBR237W
YMR304W	YDL215C
YIL148W	YLR180W
YOL108C	YML069W
YLR015W	YGL025C
YDR137W	YNL307C
YIL070C	YIL093C
YBR198C	YDR167W
YPL144W	YPR052C
YPL129W	YDR404C
YLR143W	YMR170C
YMR173W	YMR277W
YLR401C	YER162C
YJL115W	YBR215W
YIL144W	YDL215C
YGR155W	YFL037W
YHR204W	YCL043C
YBR229C	YJL034W
YHR097C	YDR304C
YEL037C	YDR229W
YDR171W	YOR086C
YMR029C	YJL082W
YER155C	YDL140C
YNL313C	YEL025C
YAL021C	YFL016C
YLL022C	YNR060W
YDR251W	YKL216W
YGR198W	YLR380W
YKL112W	YMR109W
YJR033C	YDR328C
YDL095W	YHR023W
YMR014W	YNL308C
YPL144W	YGR253C
YML100W	YMR261C
YDR101C	YDR388W
YDR457W	YER099C
YBR115C	YCR030C
YEL018W	YHR121W
YPL226W	YLR319C
YNL103W	YDR388W
YDR311W	YER168C
YMR180C	YNL240C
YML057W	YPL168W
YPL048W	YDR477W
YJL138C	YLR371W
YDR457W	YLR249W
YDL238C	YHR047C
YAR007C	YDR129C
YDR457W	YGL106W
YDR167W	YBR081C
YNL317W	YAL031C
YLR258W	YMR198W
YOR116C	YPR187W
YLR321C	YDR088C
YHR201C	YDR170C
YJL109C	YBL002W
YGL086W	YJL030W
YDR172W	YML005W
YNL317W	YDR174W
YDL097C	YOL145C
YEL037C	YOR261C
YJL154C	YFR048W
YPL227C	YDR381W
YPR190C	YLR086W
YPL064C	YGR126W
YIR002C	YDL127W
YER037W	YMR004W
YNL201C	YFL014W
YFL023W	YER048C
YLR362W	YJL098W
YKL081W	YDR499W
YGR278W	YLR153C
YKR081C	YKL203C
YBR084W	YGL207W
YBR009C	YBR010W
YDL182W	YER122C
YER174C	YDR381W
YER012W	YBR058C
YGR237C	YCR016W
YKL022C	YIR025W
YBR119W	YDL215C
YGL173C	YBL026W
YDR363W-A	YPR108W
YIL108W	YNL254C
YPL001W	YHR102W
YDR301W	YMR033W
YNL293W	YBL075C
YDR478W	YPR112C
YOR257W	YDR363W-A
YBL002W	YBR009C
YDL095W	YJL117W
YBR247C	YBL075C
YPL240C	YMR307W
YPL004C	YKL003C
YBR198C	YHL009W-B
YLL034C	YIR006C
YKR048C	YHL016C
YJL095W	YDL014W
YDL188C	YGL190C
YOR181W	YBL007C
YDL036C	YDL007W
YHR143W-A	YPR010C
YDR225W	YDL058W
YML058W	YMR049C
YDL100C	YGL150C
YJL138C	YLR249W
YEL023C	YJR009C
YJR099W	YHR183W
YCR066W	YJR009C
YHR027C	YCR014C
YJL115W	YMR086W
YMR309C	YLR429W
YIL070C	YGR165W
YNL102W	YJL214W
YBR267W	YIR039C
YIL043C	YNL055C
YML016C	YDR388W
YIL070C	YHR059W
YDR211W	YGR083C
YLR319C	YOR304C-A
YDR054C	YDR139C
YML071C	YNL041C
YDR036C	YJL128C
YLR455W	YER006W
YAR007C	YDR513W
YJR010C-A	YML072C
YDL070W	YNL209W
YDR165W	YDR207C
YGL105W	YJL092W
YNL201C	YGR063C
YLR330W	YHR030C
YNL092W	YOR159C
YDR314C	YNL048W
YBL079W	YMR153W
YJL128C	YDL006W
YKL126W	YNL208W
YBR103W	YDR464W
YIL148W	YDL022W
YDR480W	YGL245W
YGR252W	YLR418C
YIL148W	YGR032W
YIL070C	YBR251W
YNL186W	YDL190C
YIL076W	YNL088W
YFL013C	YGR285C
YOL109W	YIL070C
YAL060W	YNL327W
YOL034W	YER110C
YOL076W	YOR361C
YER006W	YIL070C
YOL010W	YMR135C
YJL115W	YDL112W
YCR079W	YDR388W
YPR161C	YKL082C
